City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,jinja,0.439,33.2032,21.16,69,52,2.59,UG,1692123740
83,aykhal,66.0,111.5,14.6,68,21,2.52,RU,1692123740
84,ushuaia,-54.8,-68.3,-0.19,74,75,9.77,AR,1692123740
85,maumere,-8.6199,122.2111,24.54,82,46,2.74,ID,1692123741
86,parun,35.4207,70.9221,14.92,54,2,2.2,AF,1692123741
87,bria,6.5423,21.9863,20.32,98,97,1.54,CF,1692123741
88,canete,-37.8,-73.4,12.41,98,100,2.47,CL,1692123741
89,howrah,22.5892,88.3103,30.0,84,40,3.09,IN,1692123649
90,nadvoitsy,63.8667,34.3167,16.6,79,50,2.69,RU,1692123742
91,luanda,-8.8368,13.2343,21.0,88,21,3.09,AO,1692123742
92,invercargill,-46.4,168.35,-0.55,96,53,0.89,NZ,1692123743
93,aasiaat,68.7098,-52.8699,3.29,97,100,2.42,GL,1692123743
94,cuito,-12.3833,16.9333,17.66,21,0,1.35,AO,1692123743
95,daru,-9.0763,143.2092,24.07,76,100,5.66,PG,1692123743
96,dwarka,22.2394,68.9678,26.93,81,96,7.1,IN,1692123545
97,inarajan village,13.2736,144.7484,26.54,97,100,0.5,GU,1692123745
98,cabo san lucas,22.8909,-109.9124,35.34,69,20,5.14,MX,1692123288
99,dunedin,-45.8742,170.5036,4.33,80,63,0.45,NZ,1692123745
100,polillo,14.7122,121.9392,27.15,84,58,2.45,PH,1692123745
101,polyarnyy,69.1989,33.4478,17.02,73,100,4.18,RU,1692123746
102,benguela,-12.5763,13.4055,20.04,88,34,0.71,AO,1692123594
103,quang ngai,15.1167,108.8,25.08,91,95,2.14,VN,1692123746
104,geraldton,-28.7667,114.6,15.23,72,75,8.23,AU,1692123519
105,bonham,33.5773,-96.1783,32.97,35,0,4.12,US,1692123746
106,mar del plata,-38.0023,-57.5575,20.01,49,0,6.69,AR,1692123747
107,cooma,-36.2333,149.1333,-0.24,95,28,0.99,AU,1692123747
108,fort saskatchewan,53.7168,-113.2187,27.34,53,100,6.17,CA,1692123747
109,avarua,-21.2078,-159.775,23.03,83,20,2.57,CK,1692123748
